Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.9-88-1034-6,192.168.10.3,88,192.168.10.9,1034,6,7/7/2017 9:00,18,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,666666.6667,111111.1111,18.0,0.0,18.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,55555.55556,55555.55556,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,2053,251,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1036-6,192.168.10.9,1036,192.168.10.3,88,6,7/7/2017 9:00,867,9,6,3160,3060.0,1565,0,351.1111111,688.2149818,1524,0,510.0,785.445606,7174163.783,17301.03806,61.92857143,166.4611132,636.0,1,867.0,108.375,257.5898942,743.0,1.0,839.0,167.8,264.224715,636.0,3.0,0,0,0,0,204,144,10380.62284,6920.415225,0,1565,388.75,689.2425311,475055.2667,0,0,0,1,0,0,0,0,0,414.6666667,351.1111111,510.0,204,0,0,0,0,0,0,9,3160,6,3060,8192,2053,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-389-1035-6,192.168.10.9,1035,192.168.10.3,389,6,7/7/2017 9:00,4315,13,13,4160,5724.0,1672,0,320.0,612.9740343,2634,0,440.3076923,817.3089363,2290614.137,6025.492468,172.6,454.387133,2216.0,1,4315.0,359.5833333,688.5191564,2216.0,3.0,4222.0,351.8333333,659.5044742,2301.0,1.0,0,0,0,0,284,284,3012.746234,3012.746234,0,2634,366.0740741,700.494821,490692.9943,0,0,0,1,0,0,0,0,1,380.1538462,320.0,440.3076923,284,0,0,0,0,0,0,13,4160,13,5724,8192,0,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-135-1028-6,192.168.10.9,1028,192.168.10.3,135,6,7/7/2017 9:00,26393515,11,6,686,752.0,168,0,62.36363636,80.65143858,268,0,125.3333333,120.6029298,54.48308041,0.644097613,1649594.688,6544950.018,26200000.0,1,26400000.0,2639351.5,8275952.256,26200000.0,3.0,1168.0,233.6,325.6421349,698.0,4.0,0,0,0,0,244,144,0.416769043,0.227328569,0,268,79.88888889,96.99113901,9407.281046,0,0,0,1,0,0,0,0,0,84.58823529,62.36363636,125.3333333,244,0,0,0,0,0,0,11,686,6,752,8192,2052,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-49671-1029-6,192.168.10.9,1029,192.168.10.3,49671,6,7/7/2017 9:00,26391938,21,14,3720,2672.0,936,0,177.1428571,268.1367721,952,0,190.8571429,324.9593719,242.1951734,1.326162558,776233.4706,4314150.373,25200000.0,1,26400000.0,1319596.9,5618823.369,25200000.0,1.0,1002034.0,77079.53846,277226.8942,999746.0,3.0,0,0,0,0,444,304,0.795697535,0.530465023,0,952,177.5555556,285.0932123,81278.13968,0,0,0,1,0,0,0,0,0,182.6285714,177.1428571,190.8571429,444,0,0,0,0,0,0,21,3720,14,2672,8192,2053,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-137-137-17,192.168.10.9,137,192.168.10.3,137,17,7/7/2017 9:00,93069427,20,20,1180,1180.0,68,50,59.0,9.233805169,62,56,59.0,3.077935056,25.35741409,0.42978668,2386395.564,9205495.832,50800000.0,3,93100000.0,4898383.789,12900000.0,50800000.0,3.0,93100000.0,4898379.0,12900000.0,50800000.0,3.0,0,0,0,0,472,472,0.21489334,0.21489334,50,68,59.2195122,6.853875528,46.97560976,0,0,0,0,0,0,0,0,1,60.7,59.0,59.0,472,0,0,0,0,0,0,20,1180,20,1180,-1,-1,19,20,6703502.0,7341592.724,11900000.0,1512212.0,39800000.0,15500000.0,50800000.0,28900000.0,BENIGN
192.168.10.3-192.168.10.9-53-49429-17,192.168.10.9,49429,192.168.10.3,53,17,7/7/2017 9:00,245,2,2,162,262.0,81,81,81.0,0.0,131,131,131.0,0.0,1730612.245,16326.53061,81.66666667,134.5226127,237.0,4,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,8163.265306,8163.265306,81,131,101.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,126.25,81.0,131.0,64,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-53-56588-17,192.168.10.9,56588,192.168.10.3,53,17,7/7/2017 9:00,184,2,2,64,96.0,32,32,32.0,0.0,48,48,48.0,0.0,869565.2174,21739.13043,61.33333333,21.36195996,86.0,49,49.0,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,64,64,10869.56522,10869.56522,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-53-65512-17,192.168.10.9,65512,192.168.10.3,53,17,7/7/2017 9:00,225,2,2,162,262.0,81,81,81.0,0.0,131,131,131.0,0.0,1884444.444,17777.77778,75.0,46.7653718,129.0,48,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,64,64,8888.888889,8888.888889,81,131,101.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,126.25,81.0,131.0,64,0,0,0,0,0,0,2,162,2,262,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-53-62625-17,192.168.10.9,62625,192.168.10.3,53,17,7/7/2017 9:00,198,2,2,142,242.0,71,71,71.0,0.0,121,121,121.0,0.0,1939393.939,20202.0202,66.0,108.2543302,191.0,3,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,40,40,10101.0101,10101.0101,71,121,91.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,113.75,71.0,121.0,40,0,0,0,0,0,0,2,142,2,242,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-445-1030-6,192.168.10.9,1030,192.168.10.3,445,6,7/7/2017 9:00,10882111,25,20,7506,2420.0,3072,0,300.24,709.1443365,260,0,121.0,106.6869498,912.139198,4.135227071,247320.7045,1596215.558,10600000.0,1,10900000.0,453421.2917,2160084.552,10600000.0,1.0,10900000.0,572731.5789,2477761.691,10800000.0,1.0,0,0,0,0,524,424,2.297348373,1.837878698,0,3072,215.7826087,531.0383921,282001.7739,0,0,0,1,0,0,0,0,0,220.5777778,300.24,121.0,524,0,0,0,0,0,0,25,7506,20,2420,8192,2051,23,20,289411.0,0.0,289411.0,289411.0,10600000.0,0.0,10600000.0,10600000.0,BENIGN
192.168.10.3-192.168.10.9-389-56590-17,192.168.10.9,56590,192.168.10.3,389,17,7/7/2017 9:00,152,2,2,328,326.0,164,164,164.0,0.0,163,163,163.0,0.0,4302631.579,26315.78947,50.66666667,48.05552344,100.0,4,4.0,4.0,0.0,4.0,4.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,64,64,13157.89474,13157.89474,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164.0,163.0,64,0,0,0,0,0,0,2,328,2,326,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-389-56591-17,192.168.10.9,56591,192.168.10.3,389,17,7/7/2017 9:00,173,2,2,414,326.0,207,207,207.0,0.0,163,163,163.0,0.0,4277456.647,23121.38728,57.66666667,16.74315781,77.0,48,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,64,64,11560.69364,11560.69364,163,207,189.4,24.09979253,580.8,0,0,0,0,0,0,0,0,1,236.75,207.0,163.0,64,0,0,0,0,0,0,2,414,2,326,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1036-6,192.168.10.9,1036,192.168.10.3,88,6,7/7/2017 9:00,40,1,4,6,24.0,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,10.0,17.3397424,36.0,1,0.0,0.0,0.0,0.0,0.0,4.0,1.333333333,0.577350269,2.0,1.0,0,0,0,0,20,80,25000.0,100000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1032-6,192.168.10.9,1032,192.168.10.3,88,6,7/7/2017 9:00,80,1,4,6,24.0,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,20.0,32.88363321,69.0,1,0.0,0.0,0.0,0.0,0.0,71.0,23.66666667,39.2598183,69.0,1.0,0,0,0,0,20,80,12500.0,50000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1031-6,192.168.10.3,88,192.168.10.9,1031,6,7/7/2017 9:00,2,3,0,18,0.0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1.0,1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1034-6,192.168.10.3,88,192.168.10.9,1034,6,7/7/2017 9:00,2,3,0,18,0.0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1.0,1,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-88-1033-6,192.168.10.9,1033,192.168.10.3,88,6,7/7/2017 9:00,38,1,4,6,24.0,6,6,6.0,0.0,6,6,6.0,0.0,789473.6842,131578.9474,9.5,17.0,35.0,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0,0,0,0,20,80,26315.78947,105263.1579,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,4,7.2,6.0,6.0,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-53-64531-17,192.168.10.9,64531,192.168.10.3,53,17,7/7/2017 9:00,145,2,2,64,96.0,32,32,32.0,0.0,48,48,48.0,0.0,1103448.276,27586.2069,48.33333333,76.7875858,137.0,4,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,13793.10345,13793.10345,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-389-62626-17,192.168.10.9,62626,192.168.10.3,389,17,7/7/2017 9:00,121,2,2,328,326.0,164,164,164.0,0.0,163,163,163.0,0.0,5404958.678,33057.85124,40.33333333,63.79916405,114.0,3,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,16528.92562,16528.92562,163,164,163.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,204.5,164.0,163.0,40,0,0,0,0,0,0,2,328,2,326,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.255-192.168.10.25-138-138-17,192.168.10.25,138,192.168.10.255,138,17,7/7/2017 9:00,102133850,48,0,10368,0.0,216,216,216.0,0.0,0,0,0.0,0.0,101.5138468,0.469971513,2173060.638,11300000.0,71700000.0,1,102000000.0,2173060.638,11300000.0,71700000.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1152,0,0.469971513,0.0,216,216,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0,220.5,216.0,0.0,1152,0,0,0,0,0,0,48,10368,0,0,-1,-1,47,0,19508.5,27500.08983,38954.0,63.0,51000000.0,29300000.0,71700000.0,30400000.0,BENIGN
192.168.10.255-192.168.10.50-138-138-17,192.168.10.50,138,192.168.10.255,138,17,7/7/2017 9:00,23719992,46,0,10373,0.0,237,214,225.5,11.62707568,0,0,0.0,0.0,437.3104342,1.939292391,527110.9333,3535956.354,23700000.0,1,23700000.0,527110.9333,3535956.354,23700000.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,888,0,1.939292391,0.0,214,237,225.7446809,11.62169651,135.0638298,0,0,0,0,0,0,0,0,0,230.6521739,225.5,0.0,888,0,0,0,0,0,0,46,10373,0,0,-1,-1,45,0,38.0,0.0,38.0,38.0,23700000.0,0.0,23700000.0,23700000.0,BENIGN
192.168.10.255-192.168.10.25-137-137-17,192.168.10.25,137,192.168.10.255,137,17,7/7/2017 9:00,34758082,460,0,31280,0.0,68,68,68.0,0.0,0,0,0.0,0.0,899.9345821,13.23433209,75725.66885,1246244.871,26400000.0,1,34800000.0,75725.66885,1246244.871,26400000.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9820,0,13.23433209,0.0,68,68,68.0,0.0,0.0,0,0,0,0,0,0,0,0,0,68.14782609,68.0,0.0,9820,0,0,0,0,0,0,460,31280,0,0,-1,-1,459,0,4003094.0,0.0,4003094.0,4003094.0,26400000.0,0.0,26400000.0,26400000.0,BENIGN
192.168.10.3-192.168.10.25-137-137-17,192.168.10.25,137,192.168.10.3,137,17,7/7/2017 9:00,30392250,32,30,2040,1860.0,68,0,63.75,16.72355881,62,62,62.0,0.0,128.3221874,2.039993748,498233.6066,3886207.071,30400000.0,0,30400000.0,980391.3548,5451343.621,30400000.0,0.0,30400000.0,1048002.552,5636157.925,30400000.0,0.0,0,0,0,0,704,640,1.052899999,0.987093749,0,68,62.98412698,11.87501044,141.015873,0,0,0,0,0,0,0,0,0,64.0,63.75,62.0,704,0,0,0,0,0,0,32,2040,30,1860,-1,-1,29,0,391.0,0.0,391.0,391.0,30400000.0,0.0,30400000.0,30400000.0,BENIGN
192.168.10.3-192.168.10.25-53-64992-17,192.168.10.25,64992,192.168.10.3,53,17,7/7/2017 9:00,250,2,2,64,96.0,32,32,32.0,0.0,48,48,48.0,0.0,640000.0,16000.0,83.33333333,103.4037395,200.0,3,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,64,64,8000.0,8000.0,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.25-53-53893-17,192.168.10.25,53893,192.168.10.3,53,17,7/7/2017 9:00,215,2,2,80,180.0,40,40,40.0,0.0,90,90,90.0,0.0,1209302.326,18604.65116,71.66666667,82.09953309,163.0,4,48.0,48.0,0.0,48.0,48.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,9302.325581,9302.325581,40,90,60.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,75.0,40.0,90.0,64,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.25-53-58059-17,192.168.10.25,58059,192.168.10.3,53,17,7/7/2017 9:00,233,2,2,58,90.0,29,29,29.0,0.0,45,45,45.0,0.0,635193.133,17167.38197,77.66666667,50.52062285,136.0,48,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,64,64,8583.690987,8583.690987,29,45,35.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,44.25,29.0,45.0,64,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.25-224.0.0.251-0-0-0,192.168.10.25,0,224.0.0.251,0,0,7/7/2017 9:00,4155641,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.481273527,4155641.0,0.0,4155641.0,4155641,4155641.0,4155641.0,0.0,4155641.0,4155641.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.481273527,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
